PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Phenotype,Potency,Efficacy,Analysis Comment,Curve_Description,Fit_LogAC50,Fit_HillSlope,Fit_R2,Fit_InfiniteActivity,Fit_ZeroActivity,Fit_CurveClass,Excluded_Points,Max_Response,Activity at 0.0007000000 uM,Activity at 0.00160 uM,Activity at 0.00370 uM,Activity at 0.00820 uM,Activity at 0.018 uM,Activity at 0.041 uM,Activity at 0.092 uM,Activity at 0.205 uM,Activity at 0.457 uM,Activity at 1.022 uM,Activity at 2.286 uM,Activity at 5.112 uM,Activity at 11.43 uM,Activity at 25.56 uM,Activity at 57.14 uM,Compound QC
5783,11111446,6603923,Inactive,0,,,Inactive,,,,,,,,,,4,,20.9,5.111,24.53,-3.469,4.949,-7.251,12.55,32.76,1.173,-24.76,0.3405,-3.107,7.821,-15.05,-36.72,20.9,QC'd by SigmaAldrich
5784,11111447,5142,Inactive,0,,,Inactive,,,,,,,,,,4,,25.25,-7.74,-30.44,-7.128,-10.55,9.388,-11.47,0.6492,-2.383,35,-15.53,1.397,2.474,-2.041,-13.64,25.25,QC'd by SigmaAldrich
5785,11111448,6603924,Inactive,0,,,Inactive,,,,,,,,,,4,,12.56,27.5,-18.64,-1.74,-1.636,34.29,5.742,9.604,3.327,46.07,-14.65,-14.12,-1.498,8.2,-3.827,12.56,QC'd by SigmaAldrich
5786,11111449,22880,Inactive,0,,,Activator,31.6228,70.0165,,Single point of activity,-4.5,4.9549,0.9272,59.1995,-10.817,3,1 0 0 0 1 0 0 0 0 0 0 0 0 0 0,56.78,33.39,-9.036,-3.35,-5.572,43.46,-7.599,-17.88,-10.44,-12.49,-11.43,-3.571,-13.63,-20.45,3.362,56.78,QC'd by SigmaAldrich
5787,11111450,81825,Inactive,0,,,Inactive,,,,,,,,,,4,,-6.965,10.05,20.43,11.63,27.41,6.482,3.595,8.419,-3.043,3.291,-23.68,-11.17,19.92,9.581,6.792,-6.965,QC'd by SigmaAldrich
5788,11111451,941462,Inconclusive,20,,,Inhibitor,15.8489,100.366,,Partial curve; partial efficacy; poor fit,-4.8,0.5,0.6648,-89.417,10.949,-2.4,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-65.39,9.006,-5.637,-3.112,44.1,26.9,-19.11,18.09,-2.323,-16.94,-12.48,-25.83,-10.68,-29.74,-42.66,-65.39,QC'd by SigmaAldrich
5789,11111452,4380,Active,83,,,Inhibitor,5.0119,98.4342,,Complete curve; high efficacy,-5.3,2.2481,0.9319,-87.2404,11.1939,-1.1,0 0 0 0 0 1 0 0 0 0 0 0 0 0 0,-87.92,9.349,29.91,-10.66,15.72,14.43,-29.2,1.963,12.51,5.526,27.66,-13.39,-32.7,-75.36,-85.35,-87.92,QC'd by SigmaAldrich
5790,11111453,4380,Active,47,,,Inhibitor,2.5119,132.738,,Partial curve; high efficacy,-5.6,0.6,0.8646,-119.98,12.7576,-2.1,0 0 0 0 0 0 0 0 0 0 0 0 0,-92.15,-8.296,42.14,10.5,-2.932,9.272,6.086,-8.236,-24.25,-17.18,-15.93,-57.58,-74.39,,-92.15,,QC'd by Prestwick
5791,11111454,6603925,Inactive,0,,,Inactive,,,,,,,,,,4,,6.608,-33.93,4.228,33.36,-5.456,-21.11,-2.323,5.491,15.53,28.55,21.68,-3.669,-6.553,-2.863,10.74,6.608,QC'd by SigmaAldrich
5792,11111455,4051,Inactive,0,,,Inactive,,,,,,,,,,4,,24.93,-43.47,-2.188,-16.78,-9.865,-20.66,-17.02,14.6,-29.49,19.11,-21.66,8.332,15.81,-29.12,-9.465,24.93,QC'd by SigmaAldrich
5793,11111456,5281670,Inactive,0,,,Inactive,,,,,,,,,,4,,-34.9,12.34,-6.737,-15.46,-25.47,-19.15,-8.572,-19.56,13.26,-1.274,-1.471,5.749,0.3946,-8.258,1.188,-34.9,QC'd by SigmaAldrich
5794,11111457,4201,Inactive,0,,,Inactive,,,,,,,,,,4,,30.82,-5.955,-27.55,-2.328,21.24,6.125,44.4,0.3258,48.96,-16.81,26.3,11.07,53.02,-12.81,-36.34,30.82,QC'd by SigmaAldrich
5795,11111458,4201,Inactive,0,,,Inactive,,,,,,,,,,4,,-17.82,-5.448,-3.566,-3.371,-13.02,32.91,-6.72,-15.95,29.91,9.899,-2.008,15.76,-3.408,,-17.82,,QC'd by Prestwick
5796,11111459,1669,Inactive,0,,,Inactive,,,,,,,,,,4,,42.92,7.352,6.903,26.04,-14.95,8.205,-20.68,-0.0537,-13.99,22.12,-6.039,15.52,12.05,-2.109,12.26,42.92,QC'd by SigmaAldrich
5797,11111460,4197,Inactive,0,,,Inactive,,,,,,,,,,4,,-8.209,-13,8.898,2.382,0.6497,30.94,-1.079,2.182,12.8,2.528,-6.331,36.57,-3.589,-7.194,-3.661,-8.209,QC'd by SigmaAldrich
5798,11111461,4197,Inactive,0,,,Inactive,,,,,,,,,,4,,-28.7,4.874,-62.34,-2.445,-11.9,37.88,1.783,6.27,-38.78,4.139,-19.6,-6.393,17.47,,-28.7,,QC'd by Prestwick
5799,11111462,446355,Inactive,0,,,Inactive,,,,,,,,,,4,,26.17,-14.96,-14.64,-14.13,13.19,-0.7742,2.382,-12.16,4.953,8.794,-5.097,-17.22,3.837,8.988,-15.25,26.17,QC'd by SigmaAldrich
5800,11111463,3614,Inactive,0,,,Activator,39.8107,54.93,,Single point of activity,-4.4,4.095,0.4352,56.1185,1.1885,3,0 0 0 0 0 1 0 1 0 0 0 0 0 0 0,45.84,10.92,17.67,-14.72,19,-16.13,33.5,-0.3363,33.69,15.72,4.214,0.5729,-29.83,3.599,10.12,45.84,QC'd by SigmaAldrich
5801,11111464,4260,Inactive,0,,,Inactive,,,,,,,,,,4,,16,-10.45,-2.514,9.345,-0.6741,-19.21,-12.33,-16.24,-11.12,-18.82,-0.6213,-23.54,7.236,-3.245,22.27,16,QC'd by SigmaAldrich
5802,11111465,4260,Inactive,0,,,Inactive,,,,,,,,,,4,,-5.612,55.17,4.159,-10.33,-21.76,4.481,-13.62,2.232,1.657,-2.655,-6.042,-7.059,13.87,,-5.612,,QC'd by Prestwick
5803,11111466,6603926,Inactive,0,,,Activator,7.9433,49.829,,Complete curve; partial efficacy; poor fit,-5.1,4.9549,0.3874,27.2107,-22.6183,1.4,0 0 0 1 1 0 0 0 0 0 0 0 0 0 0,-4.134,6.643,29.06,-22.45,-67.03,63.24,-12.49,-41.33,-38.17,-46.04,-13.1,-60.34,-24.95,24.82,55.45,-4.134,QC'd by SigmaAldrich
5804,11111467,896,Inactive,0,,,Inactive,,,,,,,,,,4,,-7.505,-4.742,-61.78,-14.85,-6.574,13.99,-17.17,1.526,-10.09,131.7,-12.64,18.17,-1.977,1.507,-15.5,-7.505,QC'd by SigmaAldrich
5805,11111468,896,Inactive,0,,,Inactive,,,,,,,,,,4,,-40.47,7.176,39.92,16.86,-8.589,32.38,3.123,-11.93,18.04,-2.754,-20.61,-0.7454,-43.79,,-40.47,,QC'd by Prestwick
5806,11111469,896,Inactive,0,,,Inactive,,,,,,,,,,4,,-16.77,12.9,-19.42,-8.299,-4.752,-1.209,-13.18,13.22,-8.343,33.18,3.409,8.771,-16.4,2.447,5.47,-16.77,QC'd by Timtec
5807,11111470,25043519,Inactive,0,,,Inactive,,,,,,,,,,4,,44.59,1.889,9.217,7.801,4.566,21.81,1.574,16.44,-9.972,22.85,-21.48,-3.445,-2.705,10.16,7.83,44.59,QC'd by SigmaAldrich
5808,11111471,3025961,Inactive,0,,,Inactive,,,,,,,,,,4,,-40.98,1.7,5.951,13.62,1.886,28.67,-7.026,25.78,14.59,49.58,8.482,4.556,29.93,3.448,-23.68,-40.98,QC'd by SigmaAldrich
5809,11111472,60663,Inactive,0,,,Inactive,,,,,,,,,,4,,-8.93,7.89,27.4,5.549,3.108,15.38,-15.7,-5.696,-18.68,-6.436,-11.28,26.92,2.259,12.74,-10.03,-8.93,QC'd by SigmaAldrich
5810,11111473,5284425,Inactive,0,,,Inactive,,,,,,,,,,4,,1.569,32.39,18.62,-3.436,-7.586,-11.51,-2.108,9.911,-27.02,-0.9369,-14.97,-6.746,-21.6,-25.58,5.768,1.569,QC'd by SigmaAldrich
5811,11111474,6603928,Inactive,0,,,Inactive,,,,,,,,,,4,,6.811,33.9,22.94,-5.181,25.48,1.357,26.26,-17.07,-25,31.39,-21.27,-7.219,30.31,-10.52,13.59,6.811,QC'd by SigmaAldrich
5812,11111475,6603929,Inactive,0,,,Inactive,,,,,,,,,,4,,53.15,32.8,22.6,48.86,29.27,62.96,-41.48,-39.16,39.35,18.38,26.03,50.14,-26.46,-21.57,-31.66,53.15,QC'd by SigmaAldrich
5813,11111476,6603930,Inactive,0,,,Inactive,,,,,,,,,,4,,-25.7,-23.63,2.281,-22.86,14.5,-5.939,16.35,-8.64,13.68,45.66,13.02,34.66,13.58,12.18,39,-25.7,QC'd by SigmaAldrich
5814,11111477,644213,Inactive,0,,,Inactive,,,,,,,,,,4,,-30.54,21.66,3.747,-0.1078,4.188,-0.2009,3.784,12.45,3.43,14.28,-44.74,25.42,44,-1.539,33.07,-30.54,QC'd by SigmaAldrich
5815,11111478,6603931,Inactive,0,,,Inactive,,,,,,,,,,4,,16.26,-14.92,4.27,-12.04,-5.504,-5.422,-10.2,-8.1,-8.045,23.27,1.514,-22.86,-0.3186,3.143,-9.567,16.26,QC'd by SigmaAldrich
5816,11111479,6603932,Inconclusive,20,,,Inhibitor,39.8107,54.596,,Single point of activity,-4.4,4.9549,0.6624,-51.252,3.344,-3,0 0 0 0 1 0 0 0 0 0 0 0 0 0 0,-45.34,10.93,8.777,2.401,7.131,34.3,7.306,4.153,7.119,0.6587,-10.37,-13.39,17.78,-10.66,5.488,-45.34,QC'd by SigmaAldrich
5817,11111480,6058,Inactive,0,,,Inactive,,,,,,,,,,4,,-16.97,-15.19,16.68,15.12,4.395,-11.6,-1.951,10.96,9.984,15.28,15.31,10.68,3.911,-14.86,5.281,-16.97,QC'd by SigmaAldrich
5818,11111481,688525,Inactive,0,,,Inactive,,,,,,,,,,4,,58.37,15.2,-9.631,-19.38,-24.33,59.32,-23.25,-19.26,1.28,-14.01,-10.91,20.5,-15.2,31.67,-16.16,58.37,QC'd by SigmaAldrich
5819,11111482,4212,Inactive,0,,,Inactive,,,,,,,,,,4,,-19.67,13.42,4.583,8.392,9.305,76.61,-3.027,35.24,31.71,-17.29,-7.87,6.266,11.35,-0.3325,8.854,-19.67,QC'd by SigmaAldrich
5820,11111483,4212,Inactive,0,,,Inactive,,,,,,,,,,4,,-12.11,-16.97,24.62,11.62,11.46,-9.277,5.217,-12.91,24.58,-25.68,14.65,5.21,-16.29,,-12.11,,QC'd by Prestwick
5821,11111484,1833,Inactive,0,,,Inactive,,,,,,,,,,4,,-24.42,-46.96,1.382,44.51,-19.7,-26.17,-30.81,-23.34,36.03,11.62,66.09,54.56,13.25,-1.629,-11.83,-24.42,QC'd by SigmaAldrich
5822,11111485,6603933,Inactive,0,,,Activator,31.6228,49.1425,,Partial curve; partial efficacy; poor fit,-4.5,3.9295,0.5007,54.312,5.1695,2.4,1 0 0 0 1 0 0 0 0 0 0 0 0 0 0,48.92,-29.63,20.24,-1.679,15.94,-25.38,12.57,15.41,-6.046,26.84,7.599,-8.854,-0.5983,-13.97,23.95,48.92,QC'd by SigmaAldrich
5823,11111486,72430,Inactive,0,,,Inactive,,,,,,,,,,4,,-37.52,-8.368,12.25,17.45,16.29,1.852,5.426,-7.439,27.31,7.921,25.33,14.7,11.03,-21.44,-20.99,-37.52,QC'd by SigmaAldrich
5824,11111487,5281672,Inconclusive,20,,,Inhibitor,19.9526,75.436,,Complete curve; partial efficacy; poor fit,-4.7,2.7202,0.7745,-77.159,-1.723,-1.4,0 0 1 0 1 0 0 0 0 0 0 0 0 0 0,-70.78,3.808,-22.26,-34.39,-12.83,-56.53,4.13,-4.907,-13.3,5.439,8.302,11.45,-13.73,8.524,-60.22,-70.78,QC'd by SigmaAldrich
5825,11111488,5281672,Inconclusive,20,,,Inhibitor,3.9811,78.108,,Partial curve; partial efficacy; poor fit,-5.4,1.6436,0.7967,-72.064,6.044,-2.4,0 0 0 0 0 0 0 0 0 0 0 0 0,-67.48,-0.9386,-1.223,-20.35,20.95,21.51,21.64,9.654,-1.639,-1.978,4.731,-19.19,-41.74,,-67.48,,QC'd by Prestwick
5826,11111489,5281672,Active,82,,,Inhibitor,10,95.3455,,Complete curve; high efficacy,-5,2.1876,0.8791,-84.1018,11.2437,-1.1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-84.66,18.38,40.27,13.56,5.835,-7.972,8.214,3.369,-5.374,28.89,9.342,0.2491,-2.812,-43.33,-71.14,-84.66,QC'd by Timtec
5827,11111490,132862,Inactive,0,,,Inactive,,,,,,,,,,4,,23.15,73.64,5.214,-25.03,-31.16,-10.33,15.17,-10.29,142,5.744,3.292,-9.155,10.02,-18.44,9.433,23.15,QC'd by SigmaAldrich
5828,11111491,6603934,Inactive,0,,,Inactive,,,,,,,,,,4,,-17.66,4.976,11.83,1.647,-23.25,13.05,11.89,-23.13,-20.39,-0.2908,-1.008,-17.84,7.766,9.132,-2.249,-17.66,QC'd by SigmaAldrich
5829,11111492,6569219,Active,44,,,Inhibitor,5.0119,121.27,,Partial curve; high efficacy,-5.3,0.5,0.8022,-108.504,12.7659,-2.1,0 0 0 0 0 0 0 0 0 1 0 1 0 0 0,-90.42,11.67,2.438,31.16,-20.2,7.317,30.31,-19.01,-11.36,-3.963,36.82,-49.22,14.88,-37.89,-74.63,-90.42,QC'd by SigmaAldrich
5830,11111493,12650,Inactive,0,,,Inactive,,,,,,,,,,4,,12.52,-8.844,25.84,1.904,25.6,-16.27,32.96,-17.57,10.6,-40.72,21.32,-25.28,2.421,-23.93,9.969,12.52,QC'd by SigmaAldrich
5831,11111494,12650,Inactive,0,,,Inactive,,,,,,,,,,4,,0.7224,-19.41,12.54,-13.14,-21.53,16.38,-23.17,-15.98,-3.62,-4.986,-8.712,15.56,6.192,-6.245,-16.31,0.7224,QC'd by SigmaAldrich
5832,11111495,1390,Inactive,0,,,Activator,,,,Single point of activity,,,,,,3,,48.52,23.03,7.777,-10.66,5.16,11.11,6.727,-7.324,15.34,-8.622,12.05,-21.79,-4.869,-9.21,-20.18,48.52,QC'd by SigmaAldrich
5833,11111496,6603935,Inactive,0,,,Activator,39.8107,96.0621,,Partial curve; high efficacy; poor fit,-4.4,4.5045,0.6807,97.911,1.849,2.3,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,82.68,-9.374,-10.33,16.61,16.09,-12.03,15.51,-1.554,29.48,-2.955,4.369,-6.779,11.78,-26.11,15.42,82.68,QC'd by SigmaAldrich
5834,11111497,4098,Inactive,0,,,Inactive,,,,,,,,,,4,,15.05,-23.01,35.02,-9.946,35.82,-6.677,31.81,-3.413,2.853,15.2,5.471,-4.434,1.714,-20.25,-2.457,15.05,QC'd by SigmaAldrich
5835,11111498,4098,Inactive,0,,,Inactive,,,,,,,,,,4,,-8.252,-12.78,-5.821,-11.63,10.92,-6.528,6.7,-12.02,-5.153,1.323,-4.688,1.829,16.34,,-8.252,,QC'd by Prestwick
5836,11111499,1263681,Inactive,0,,,Inactive,,,,,,,,,,4,,-1.921,-31.8,11.27,4.65,0.2299,14.65,17.44,22.51,17.57,46.9,5.112,17.87,-10.33,8.903,-6.421,-1.921,QC'd by SigmaAldrich
5837,11111500,5353329,Inactive,0,,,Inactive,,,,,,,,,,4,,-19.22,-32.87,5.912,-27.08,22.18,-7.075,34.67,2.931,-34.68,30.94,39.46,36.44,27.17,-3.84,14.38,-19.22,QC'd by SigmaAldrich
5838,11111501,54686777,Inactive,0,,,Inactive,,,,,,,,,,4,,4.287,-27.88,3.264,-28.31,2.291,-1.155,-22.63,-0.4508,-4.726,17.96,5.879,-10.13,10.73,17.65,-12.1,4.287,QC'd by SigmaAldrich
5839,11111502,4011,Inconclusive,20,,,Inhibitor,15.8489,65.6673,,Partial curve; partial efficacy; poor fit,-4.8,4.095,0.4875,-54.1393,11.528,-2.4,0 0 0 0 1 0 0 0 1 0 0 0 0 0 0,-57.01,24.1,52.78,-17.37,-3.833,71.12,-8.625,18.75,-6.467,65.34,-19.32,47.78,33.8,-10.07,-40.2,-57.01,QC'd by SigmaAldrich
5840,11111503,3540,Inactive,0,,,Inactive,,,,,,,,,,4,,-28.28,13.74,-4.066,-9.168,-11.29,-13.02,-19.91,-1.647,-2.991,10.73,28.89,3.177,6.572,-10.77,12.51,-28.28,QC'd by SigmaAldrich
5841,11111504,6603937,Active,62,,,Inhibitor,10,64.9655,,Complete curve; partial efficacy,-5,4.9549,0.8187,-64.464,0.5015,-1.2,1 0 0 0 0 0 0 0 1 0 0 0 0 0 0,-73.78,-30.62,1.07,2.137,8.244,-0.6453,-13.08,-19.04,-11.21,52.5,0.6383,5.715,26.52,-39.12,-57.7,-73.78,QC'd by SigmaAldrich
5842,11111505,196875,Active,64,,,Inhibitor,3.1623,74.4325,,Complete curve; partial efficacy,-5.5,1,0.8969,-73.4055,1.027,-1.2,1 0 0 1 0 0 0 0 0 0 0 0 0 0 0,-67.46,-49.46,2.524,19.82,83.12,-17.17,-0.8479,-8.6,-3.611,4.99,-26.09,-31,-41.67,-55.21,-69.91,-67.46,QC'd by SigmaAldrich
5843,11111506,4515,Inactive,0,,,Activator,25.1189,81.1712,,Partial curve; partial efficacy; poor fit,-4.6,3.0654,0.5425,75.6977,-5.4735,2.4,0 0 0 0 0 1 0 1 0 0 0 0 0 0 0,68.39,-34.6,-28.41,1.58,32.24,-20.41,45.64,-10.05,38.57,-6.801,36.63,-22.02,2.88,-7.663,39.97,68.39,QC'd by SigmaAldrich
5844,11111507,157704,Active,87,,,Inhibitor,1.2589,99.1481,,Complete curve; high efficacy,-5.9,1.1,0.9061,-103.441,-4.2931,-1.1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-104.6,-28.61,18.06,-19.88,1.717,-11.82,17.79,-19.03,-5.086,-38.41,-45.98,-68.2,-83.5,-96.62,-97.9,-104.6,QC'd by SigmaAldrich
5845,11111508,157132,Inconclusive,20,,,Inhibitor,3.1623,94.024,,Complete curve; high efficacy; poor fit,-5.5,1.9282,0.79,-88.9112,5.1128,-1.3,0 0 0 0 0 1 0 0 0 0 0 0 0 0 0,-102.7,-9.132,-37.82,16.23,43.38,2.161,69.2,8.038,-2.299,-0.2392,24.01,-47.23,-54.29,-76.67,-79.02,-102.7,QC'd by SigmaAldrich
5846,11111509,6603938,Inactive,0,,,Inactive,,,,,,,,,,4,,-30.43,22.72,-7.541,7.193,47.76,18.68,-22.39,-16.23,9.822,-24.91,39.49,-25.66,2.971,8.636,-1.688,-30.43,QC'd by SigmaAldrich
5847,11111510,6541426,Inconclusive,20,,,Inhibitor,10,48.3555,,Complete curve; partial efficacy; poor fit,-5,4.4495,0.6993,-53.3805,-5.025,-1.4,0 0 0 0 1 0 0 0 0 0 0 0 0 0 0,-61.39,4.773,-11.19,-10.18,-22.34,39.65,-23.66,-16.33,13.86,10.84,4.145,-12,2.125,-34.56,-46.2,-61.39,QC'd by SigmaAldrich
5848,11111511,4401,Inactive,0,,,Inactive,,,,,,,,,,4,,-28.03,23.14,-7.117,-10.86,-15.41,72.27,-19.74,-8.811,-4.389,-7.505,-18.37,33.02,20.8,-4.851,3.043,-28.03,QC'd by SigmaAldrich
5849,11111512,6603939,Active,63,,,Inhibitor,6.3096,102.075,,Complete curve; partial efficacy,-5.2,1.5095,0.8318,-80.5889,21.4863,-1.2,0 0 0 0 1 1 0 0 0 0 0 0 0 0 0,-75.07,28.48,-21.81,11.51,31.27,81.08,-36.46,17.75,50.28,33.58,20.47,-7.178,-20.08,-43.75,-76.11,-75.07,QC'd by SigmaAldrich
5850,11111513,9604973,Inactive,0,,,Inactive,,,,,,,,,,4,,-19.17,0.46,-18.28,-4.129,-7.398,31.46,-9.81,6.479,5.892,-5.616,-11.14,22.31,18.8,13.11,-13.06,-19.17,QC'd by SigmaAldrich
5851,11111514,4552,Active,92,,,Inhibitor,0.1259,102.815,,Complete curve; high efficacy,-6.9,0.9,0.9316,-99.1598,3.6549,-1.1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-100.4,-13.46,21.43,-18.25,14.26,-20.62,-10.93,-54.15,-51.65,-76.23,-80.97,-91.43,-97.85,-97.77,-98.66,-100.4,QC'd by SigmaAldrich
5852,11111515,9604974,Inactive,0,,,Inactive,,,,,,,,,,4,,-22.89,15.86,-19.63,6.233,4.428,3.545,-4.42,4.226,19.97,6.347,6.286,12,24.64,-12.2,-3.236,-22.89,QC'd by SigmaAldrich
5853,11111516,4551,Inactive,0,,,Inactive,,,,,,,,,,4,,5.022,-15.33,-29.76,-5.9,41.23,-6.109,43.6,-27.33,-27.12,2.258,7.808,-11.23,20.67,-15.47,4.597,5.022,QC'd by SigmaAldrich
5854,11111517,6603942,Inconclusive,20,,,Inhibitor,39.8107,70.9615,,Single point of activity,-4.4,4.9549,0.841,-62.4615,8.5,-3,1 0 0 0 1 0 0 0 0 0 0 0 0 0 0,-55.33,-14.63,15.05,-3.433,9.746,39.69,5.616,8.205,23.36,11.7,6.143,8.55,12.48,-6.838,4.577,-55.33,QC'd by SigmaAldrich
5855,11111518,4488,Inactive,0,,,Inactive,,,,,,,,,,4,,1.611,-9.131,-33.38,3.01,-36.35,6.088,-24.93,11.16,-12.77,12.33,57.59,13.29,4.839,10.52,-5.976,1.611,QC'd by SigmaAldrich
5856,11111519,4488,Inactive,0,,,Inactive,,,,,,,,,,4,,12.26,7.029,-18.1,-11.99,-7.717,7.227,-37.17,-8.688,-5.89,-10.3,-31.92,10.77,-8.997,,12.26,,QC'd by Prestwick
5857,11111520,4495,Inactive,0,,,Inactive,,,,,,,,,,4,,-19.24,-11.28,0.0293,-23.87,0.754,-5.141,7.863,-20.69,3.215,-0.8272,4.536,-28.79,15.47,-5.099,3.029,-19.24,QC'd by SigmaAldrich
5858,11111521,4495,Inactive,0,,,Inactive,,,,,,,,,,4,,-27.82,-18.96,-18.04,3.112,-15.54,18.71,40.48,1.958,0.0194,6.425,-17.88,-5.9,-3.627,,-27.82,,QC'd by Prestwick
5859,11111522,4472,Inactive,0,,,Inactive,,,,,,,,,,4,,-37.82,11.88,28.28,-16.93,-0.3075,-8.942,4.732,-1.162,-5.472,-12.08,21.65,31.61,-3.483,15.08,-15.2,-37.82,QC'd by SigmaAldrich
5860,11111523,4472,Inconclusive,20,,,Inhibitor,10,119.422,,Single point of activity,-5,1.2475,0.6868,-92.752,26.67,-3,1 0 0 0 0 0 0 0 0 0 0 0 0,-66.71,-5.375,-2.467,-3.89,44.3,35.48,60.29,31.6,20.39,36.13,5.287,10.44,-6.113,,-66.71,,QC'd by Prestwick
5861,11111524,55993,Inactive,0,,,Inactive,,,,,,,,,,4,,14.01,28.44,-8.581,18.74,-0.3594,22.74,-0.3426,-29.17,-9.138,-21.59,53.02,0.2017,9.408,19.15,0.2615,14.01,QC'd by SigmaAldrich
5862,11111525,6603943,Inactive,0,,,Inactive,,,,,,,,,,4,,-16.2,9.655,-15.17,-4.251,-6.816,-13.41,11.19,8.698,14.96,-5.925,-16.32,-23.96,8.02,0.1544,0.7776,-16.2,QC'd by SigmaAldrich
5863,11111526,262093,Active,89,,,Inhibitor,0.5012,143.615,,Complete curve; high efficacy,-6.3,1.5386,0.9756,-104.758,38.8573,-1.1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-105.9,42.72,39.98,35.52,37.84,23.62,32.56,59.45,-5.472,-31.38,-70.75,-86.17,-100.3,-102.2,-104.6,-105.9,QC'd by SigmaAldrich
5864,11111527,4456,Inactive,0,,,Inactive,,,,,,,,,,4,,42.89,-18.08,-40.07,2.557,18.2,14.89,27.11,15.83,-10.18,20.94,6.182,-12.62,-16.91,25.32,1.932,42.89,QC'd by SigmaAldrich
5865,11111528,4456,Inactive,0,,,Inactive,,,,,,,,,,4,,-3.749,-6.41,-2.49,1.03,-22.5,12.83,-19.5,4.092,5.947,-29.23,-0.4167,2.909,9.915,,-3.749,,QC'd by Prestwick
5866,11111529,6603944,Inactive,0,,,Inactive,,,,,,,,,,4,,12.87,-14.53,-5.809,-17.44,-10.09,-7.184,16.07,-10.83,18.61,-16.94,-22.88,-15.69,8.257,-8.222,9.41,12.87,QC'd by SigmaAldrich
5867,11111530,6568857,Inactive,0,,,Inactive,,,,,,,,,,4,,33.58,3.583,0.059,-0.0095,-20.67,-17.34,-22.89,20.99,-18,26.76,-22.68,27.29,24.46,55.86,-10.34,33.58,QC'd by SigmaAldrich
5868,11111531,6321302,Inactive,0,,,Inactive,,,,,,,,,,4,,-6.972,-6.32,-17.34,15.04,-15.02,18.56,6.026,15.89,-5.918,25.16,-14.95,25,23.09,16.15,-6.648,-6.972,QC'd by SigmaAldrich
5869,11111532,6603945,Inactive,0,,,Inactive,,,,,,,,,,4,,-15.29,-8.186,38.34,17.42,5.352,10.33,-14.89,-14.38,-24.37,-7.605,30.19,-15.19,23,9.458,5.035,-15.29,QC'd by SigmaAldrich
5870,11111533,4477,Inactive,0,,,Inactive,,,,,,,,,,4,,-30.43,47.38,22.38,1.065,-13.35,22.58,12.29,18.3,13.03,15.91,-5.906,1.442,-5.366,-37.71,-41.13,-30.43,QC'd by SigmaAldrich
5871,11111534,4477,Inconclusive,20,,,Inhibitor,0.3981,37.648,,Single point of activity,-6.4,1.6924,0.5537,-22.784,14.864,-3,0 0 0 0 1 0 0 1 0 0 0 0 0,-15.08,13.87,-12.74,18.87,21.05,76.28,36.66,9.065,79.09,-10.06,-16.21,-1.404,-46.98,,-15.08,,QC'd by Prestwick
5872,11111535,4431,Inactive,0,,,Inactive,,,,,,,,,,4,,14.26,-18.31,11.6,38.08,6.689,38.86,24.77,-26.37,24.49,17.78,43.63,1.8,28.91,2.003,-11.16,14.26,QC'd by SigmaAldrich
5873,11111536,176157,Inconclusive,22,,,Inhibitor,7.9433,74.868,,Complete curve; partial efficacy,-5.1,2.7202,0.8095,-54.368,20.5,-1.2,1 0 0 0 0 0 0 0 0 1 0 0 0 0 0,-57.39,-4.273,-9.864,35.32,33.73,9.304,-0.257,22.18,42.61,26.54,-15.24,21.46,4.214,-31.15,-51.12,-57.39,QC'd by SigmaAldrich
5874,11111537,6603946,Inconclusive,20,,,Inhibitor,39.8107,104.734,,Single point of activity,-4.4,4.9549,0.7129,-93.0025,11.731,-3,0 0 1 0 0 0 0 0 0 0 1 0 0 0 0,-82.39,-5.646,21.42,-32.69,29.29,29.34,6.354,-7.019,7.296,34.92,-18.59,-37.39,7.875,12.96,17.21,-82.39,QC'd by SigmaAldrich
5875,11111538,6603947,Inactive,0,,,Inactive,,,,,,,,,,4,,9.005,-32.96,-19.3,-3.764,-0.9681,8.49,-16.1,21.33,2.264,74.64,-7.146,-4.79,0.3273,-11.84,3.56,9.005,QC'd by SigmaAldrich
5876,11111539,4549,Inactive,0,,,Inactive,,,,,,,,,,4,,-30.05,20.77,-4.36,8.861,39.77,30.45,-3.312,-38.32,-10.39,-20.22,-34.08,-41.63,40.49,12.34,-8.603,-30.05,QC'd by SigmaAldrich
5877,11111540,71398,Inconclusive,20,,,Inhibitor,15.8489,73.819,,Partial curve; partial efficacy; poor fit,-4.8,1.5095,0.6469,-53.944,19.875,-2.4,0 0 0 0 0 0 0 0 1 0 0 1 0 0 0,-45.37,20.5,4.641,28.4,2.871,0.5341,35.23,48.38,18.14,88.65,38.44,-8.517,109.2,3.036,-33.6,-45.37,QC'd by SigmaAldrich
